index	1	2	3	4	5	6	7	8
bcEBWV	31.594706538375952	294.05088490027805	128.3324027273971	7.9992063981076615	34.47157886221313	126.34204099246342	138.77879304760984	671.8160171502664
bcFCVP	0.0	630.8731083109514	276.5251597517163	21.3033283234365	46.21604463328866	0.0	1.1174735025419589	84.04988735275768
bcHNVN	0.0	442.03455734581155	192.2623046056214	11.495729814410376	0.0	32.8025818774786	17.637517378113866	143.58229781582938
bcBHXW	11.8351965523352	520.3541478820757	196.0903378383729	13.007889661374879	34.10871237292128	16.18808000596371	10.439832172775619	76.38087255265013
bcBMZJ	54.14675532400295	184.50451069127507	8.61239375169081	10.535814032037432	9.33509858358849	0.0	451.5961591161333	363.1122672325944
bcHGZO	0.0	158.76178945663654	46.67198864519008	4.377581871342499	11.354766485181829	0.0	171.65185056248882	550.0988601609754
bcDNVA	77.16318458778973	538.2568450129811	52.74399848135238	9.561116023921102	30.6494759051035	0.27889829778329267	252.17876117066433	0.0
bcGNPP	31.431107086391403	585.6390843982673	27.792141613812987	0.0	0.0	5.947058750709184	0.0	212.22197420277138
bcDEZS	34.25633545593222	595.8303552975716	0.0	0.0	48.68602370801109	107.52191650228919	259.39293383438337	0.0
bcGHUN	9.695458288183376	394.74183548553765	110.08576547994558	7.986704916616812	14.016860755351775	44.158494522915	24.22679153369673	146.89391396554075
bcENBU	18.435788352877534	169.1744424614711	138.7921249510598	10.100795202691808	68.30268635048026	15.196596127135063	55.08709677783346	438.05837011810905
bcHPLJ	2.4407898996363198	436.18421265873724	228.30441181570782	6.438791767243151	32.43589372869325	40.27544951793068	2.491985972566649	68.00101459967698
bcFVOU	0.0	438.6828153007035	201.78000831413777	17.02243280985579	0.0	46.6423953130975	18.515454845660695	38.67944564857389
bcHBHC	0.0	50.4145858060232	0.0	0.0	0.0	582.8969433418548	299.4395247793739	0.0
bcBSFZ	0.0	527.7468517735598	29.124463949914634	21.431825890421152	0.0	57.258535675948224	93.11761641943725	0.0
bcDCAU	0.0	852.2923826243725	0.0	0.5853315772019392	0.0	0.0	12.820290229697834	0.0
