index	1	2	3	4	5	6	7	8
bcEBWV	569.2113574476115	90.58139027404616	4.154762746074026	5.610427072068898	28.355741682392697	0.0	705.6529186548395	83.97691467360042
bcFCVP	0.0	0.0	10.851704227687886	0.0	0.0	0.0	1439.1029794316485	0.0
bcHTFJ	32.47168335389697	248.83722512643908	0.0	0.0	0.0	52.80348622205122	480.84976332759743	416.32519911095795
bcHNVN	61.8085230127948	5.48711970227391	6.6970568565983095	0.0	0.0	0.0	936.7765978516979	0.0
bcBHXW	15.702984524557351	0.0	8.766755669221116	0.0	8.489111375004816	48.436673890247825	1025.6158508682245	0.0
bcBMZJ	363.39485810442187	393.9374479187071	4.153445402963836	5.952045040381752	14.042703046853108	78.73670098922813	269.7639422979061	1.5505304214498143
bcHGZO	524.4135446003811	139.9253156319996	5.469746532974419	0.0	0.0	53.397839670642455	238.61229678230316	0.0
bcDNVA	3.411208020815972	215.8700763555151	8.407134934737122	18.454496447634583	50.31234383414277	273.54464175686485	428.141806629478	3.0990059908276795
bcGNPP	192.80486811671037	0.0	0.0	0.0	18.909695100417473	343.8866986117192	378.1699705236774	12.232299466571673
bcGSUK	175.27992942499026	25.5022652405763	0.0	13.863867201965482	36.59156723460258	174.87924389532043	708.782153086255	6.296405847405162
bcDEZS	19.07756588296446	198.67772118673113	3.213947678901617	58.74772305372564	18.895673315403762	464.59356198172793	134.71421134698758	104.31173030567184
bcGHUN	123.65789503792566	1.0694237748514068	5.64873272952083	0.0	0.0	37.774065875243835	673.2947886167466	40.354487683240365
bcENBU	355.611457566528	46.495717850253094	0.0	37.206378540982676	21.541498881268808	0.0	467.59932798658485	10.579147007698275
bcHPLJ	28.22097598790147	0.0	0.0	0.0	0.0	4.007784379765306	870.069289944893	29.94817742301179
bcFVOU	0.0	0.0	4.205971302285178	0.0	0.0	0.0	926.4231389282701	35.05837037206586
bcHBHC	8.834250358423695	229.76515024372821	1.6142671237598107	0.0	0.0	14.596062623989763	43.06591004858935	506.90040452993344
bcBSFZ	0.0	53.76325864265401	18.96504988518813	0.0	0.0	245.88931595027648	642.7877899032065	41.44272408323668
bcDCAU	0.0	15.708686997622092	2.80018415054918	0.0	0.0	736.2822964497392	29.715693347632712	0.0
bcALLC	113.08882510503297	18.715744840870457	0.8059638385044906	41.24878774396843	27.850857742299414	0.0	454.85463713031584	8.417426817991203
bcBIMG	159.30602595184962	250.5756579717928	7.073849594948243	40.056994015809586	184.01747852944717	88.43628090035794	274.36123619767613	0.0
bcFCNC	218.42705078125687	85.72548828526902	0.0	0.0	0.0	27.520537496103508	580.020307492985	36.644844982285065
bcFXOW	546.2742898363149	5.32206156419974	0.0	0.0	33.26798582193616	0.0	330.11221666646816	0.0
bcEOBK	0.0	0.0	4.05085195183326	15.611786168699954	1.7954681239713484	868.6239516224637	0.0	0.0
bcDNPH	10.580140188591367	61.547462743267985	0.0	32.72230021932887	2.6701972089891424	389.09986930924146	356.7625236252575	19.470828241133802
bcCCGX	187.24429959508012	104.69377152994741	0.0	0.0	38.29551503400357	0.0	467.55621681614605	17.728701400947884
bcGSVZ	14.051920350210427	20.412035881994566	0.0	4.720623110680004	9.466240120503212	516.7310170252481	293.6153215514336	63.770494586282446
bcEELC	252.8362218866104	3.672927041564624	0.0	4.504387796464018	0.0	54.49225642348615	489.3492498922511	33.901713859047824
bcDGHW	0.0	48.142718224920685	7.89832016442439	13.613080013776797	203.07223046189299	0.0	917.693639543691	14.934533069236153
bcEQFS	2.144134664060282	7.518332333995805	0.0	0.0	13.363184780910972	0.0	735.2757666036265	6.953560928389935
bcEHDA	137.87730182759773	31.575236161026872	0.0	0.0	0.0	52.018596041032225	660.9141548818116	0.0
bcGKGZ	54.84419281557852	144.67109468311256	8.600429369118983	10.521941072149474	0.0	3.4641213333145235	536.8655038528101	13.861931628969717
bcFWZN	39.68577574068745	110.81144250401844	7.54926409308493	83.98730185654371	81.34038290634686	49.812436691787454	435.72021779764754	6.600332977322833
bcHXVA	0.0	0.0	0.0	0.0	4.096066658278922	0.0	831.6237757585567	0.0
bcFXWA	154.80538084647338	134.55643627677838	0.0	0.0	0.0	11.5245117189173	408.63180390156447	21.645945985801614
bcHZXW	0.0	593.1494143896822	17.96621605956454	0.0	326.7085353485902	212.2296371335348	9.564607681903746	0.0
bcANBD	0.0	393.9912694120938	0.0	0.0	120.50595143613923	10.861771951024906	0.0	319.76950850856844
bcHGGS	1.6620146074273487	24.27319761373024	2.8291737404477946	484.181216532701	201.62452424168927	18.864497298224244	81.56266496062366	516.9351305241878
bcFDSB	63.96945328494039	18.76426325323753	7.906485113828973	0.0	0.0	711.0723136013345	0.0	0.0
bcBANX	42.269671110195134	69.9647170006663	4.409613689253221	99.03145688584674	49.55460481941604	48.604908151122395	435.1125844439438	20.0468822991956
bcDUIH	0.0	414.89770196331875	368.7221120744719	103.07308693841942	0.0	0.0	0.0	581.1413037323584
bcCMPO	289.4628224857626	136.9681727443086	2.778412062822374	15.177531321392781	0.0	35.033324556082285	373.4974444365193	0.0
bcESYU	19.2992144716923	28.551550075306622	12.407267138122602	0.0	35.119968388927866	0.0	733.9285775799781	19.792392268139636
bcFVZH	98.06094055312934	7.647057585577952	0.0	20.638487702466264	19.668326271530752	5.723208123025409	590.537853668366	40.4039624551135
bcDCPA	23.435083191040935	34.4322189085274	1.5304552105360567	0.0	0.0	429.0777562184861	184.25763370384695	0.0
bcBHJT	101.82124660242	282.8837146846121	9.903136721731745	8.833596432327772	0.0	68.94070737850018	386.6918723921103	20.992263827861212
bcHNDU	92.60328251941782	698.0336793425004	20.103699298044315	0.0	251.15607762369854	24.128278017909594	30.14649044011276	15.504362592141138
bcDRBF	30.501731793518587	0.0	8.899940697087038	0.0	0.0	32.121808108766984	0.0	500.6785710367387
bcGMEF	483.7571772825385	41.52460749797254	0.0	0.0	17.085763474915915	8.826002973105208	212.90712099427583	53.9329342107632
bcASAP	61.84331887937936	104.49792986000355	9.108127136572389	163.01680775278322	78.2310016956975	34.16389018973809	317.57750332128137	37.526160251900535
bcEXCM	84.04704401176132	0.0	0.0	12.477621634176876	25.256617241933817	2.2528905033190467	561.3732722616743	17.104727705334266
bcGQJU	0.0	17.225482681419418	0.0	0.0	0.0	311.0894014721492	476.8730289703923	19.732836658722828
bcHNBX	9.207158380262962	0.4767013304125798	0.0	0.0	0.0	8.677491183341749	0.0	516.2287525973476
bcIFMH	451.69042995826373	15.337234986093815	0.06330362408627711	486.6336041009233	0.0	9.863270426365833	0.20647561550127527	43.41215676896313
bcAPEZ	23.551872763010472	0.0	0.0	378.36817076857557	11.484514698675545	0.0	514.7710758520717	54.01334801913065
bcEJYS	571.9105437179129	119.85656840994947	11.104046667113629	9.226149620152745	0.0	28.74347861409429	18.207585339136084	0.0
bcFKUS	62.30887185303469	77.24606909432725	1.3481364488876593	116.5600216063318	58.056556868398026	53.804696092850584	282.53926717158316	94.13210372301207
bcAPDJ	272.2480830602202	21.41322131272338	10.303279611314656	9.734555287588316	5.416854632100603	18.941591099014623	336.20781180830807	46.961563237412314
bcAMGS	12.489659724079688	0.0	0.0	0.0	0.0	18.861761065137763	0.0	533.6984660268532
bcBFSC	285.2390654659986	103.33158286816956	13.333198109790787	200.9213799121995	0.0	49.80514464157868	224.21092840985037	10.043143285703206
bcBKQQ	28.58157119942804	0.0	0.0	0.0	0.0	14.279380979615654	0.0	521.448895576767
bcGCVF	14.114464499945576	436.9260974295142	0.3122911874471792	307.56805243162336	52.624970259186775	22.314393808465386	12.275933003774862	151.78016894354147
bcIEUX	6.440857078948689	187.2442087384721	0.0	0.0	0.0	0.0	0.0	442.1203806135792
bcEAFT	30.075112244835722	8.796102105931407	5.5612958042188065	0.0	20.45657599889806	383.93050627253643	218.80886592999718	18.279741338893082
bcHGLL	64.52687833475976	0.0	0.0	0.0	0.0	0.0	759.06636329673	0.0
bcAPEL	12.216073432851013	4.060880973287136	0.0	0.0	2.759730715725896	8.358286240626274	0.0	528.3010127611251
bcGVJR	171.84549510293786	0.0	4.158390355149112	0.0	3.66844292680664	33.36965734583813	360.0846421090473	52.432068833805545
bcFGFQ	435.75006921516126	102.93971877081977	10.402072830296449	33.82363067926469	40.56441077681469	0.0	139.5974214322898	131.67099696224022
bcCGTE	0.0	0.0	0.0	0.0	0.0	198.15460512875757	608.1153705330511	17.5228094833728
bcDXSP	503.8201875132905	2.4992569298604335	0.0	0.0	0.0	46.00094385539538	233.56443791495397	3.8803130042019007
bcFWBP	0.0	0.0	191.0705098130327	5.09409811110968	0.0	475.5720257878139	0.0	0.0
bcIFAK	401.09466142083676	0.0	1.5995612444239982	26.877052012506024	0.0	88.72850898108577	93.44913358313059	0.0
bcGZPI	0.0	63.94912091361284	1.4145894967619375	255.62392584323104	0.0	230.0259906166931	319.3899262687942	46.85967982254579
bcAICN	164.755806009233	21.70968166312226	0.0	127.23935410114218	0.0	80.15566407663484	313.73818182805803	65.39754600512698
bcAERR	55.402887390310866	2.1447755036355907	0.0	3.0990118359555767	0.0	3.3927688605155946	507.7106485857722	0.0
bcEKSB	452.41835602172085	48.59756759476043	9.401318435855934	0.0	87.92998088727313	182.55433955746977	87.05015216238722	9.979529074128887
bcAQOG	306.7391738590514	9.181201624432832	0.0	0.0	2.630916532217378	0.0	316.85239892729726	24.131364913431337
bcHPNK	168.44470879195805	175.8302979179859	1.7373287734237501	17.683118428628372	0.0	56.022589531836864	276.9333683650996	0.0
bcFQQU	267.9841353009971	99.56362434728761	0.5757820228281881	17.02942445567238	0.0	95.84140633586183	228.5384750896626	0.0
bcGYJZ	260.1604385655793	0.0	0.0	0.0	0.0	388.15356544744424	102.54185146433622	0.0
bcANGG	0.0	1.2631222578618908	0.0	0.0	4.157131851087042	263.9192616242055	448.6902288130779	0.0
bcHSXI	72.23294732964513	34.814738044897254	0.0	139.83792229818283	0.0	0.0	436.5939326293903	52.53544136929723
bcHWXG	65.80874748156705	0.0	0.0	0.0	0.0	22.11609620440392	0.0	480.20819871506706
bcGLQC	614.9180707144097	0.0	6.261918766983246	0.0	4.474562475149059	56.03169175266924	26.017331693494786	14.682310785237878
bcDRHJ	5.595797842522022	0.0	0.0	0.0	78.05645256024174	17.90762152979388	0.0	824.4681541967424
bcDSIC	0.0	118.27582885523496	6.077009851332637	0.7448144898568742	0.0	454.1919385931366	110.59312893645613	19.017803702289644
bcHQZY	6.827973419474264	0.0	0.0	0.0	0.0	11.477220374242343	0.0	624.7779623949823
bcAQNN	454.455541478137	22.496033761684163	0.0	0.0	0.0	25.59732318083432	168.81335922840174	0.0
bcHGXH	27.591669869415938	65.01777319382356	2.5837982007154037	111.60193407524932	54.20915044931473	54.86574607866611	371.62258301672836	24.8222227559541
bcFWTL	0.0	499.41482934793726	5.0483155260941786	12.860381626658484	0.0	0.0	222.71214622601866	101.28951950427474
bcIEJR	95.69881089416705	22.12193459717821	0.0	0.0	0.0	15.248755209147408	442.20928766645017	12.665982111832317
bcFIIN	50.05360985581557	0.0	0.0	32.30290480133168	17.50976224231759	82.2545125170937	468.9145965873763	33.73597437019943
bcIJYH	0.0	9.468144311778094	0.0	0.0	0.0	4.081586533236827	0.0	534.161756742914
bcFFZZ	0.0	0.0	8.415583282940531	0.0	0.0	0.0	0.0	540.0666286592323
bcGXWB	336.2297635475023	130.84307101789886	2.6099224450866787	91.03950974837217	0.0	23.47330068022024	32.045989583331284	73.43160796381734
bcFIYT	48.30455660260005	80.512492396705	9.951067668580441	76.77761846341627	65.87146183017688	45.393083889058076	341.92999721755433	26.645486902230267
bcAKNE	0.0	15.255426320021094	0.0	15.7854932085361	3.767602903822977	0.8046830273365687	551.3540126409973	19.168831336280032
bcIHVM	35.57204512423582	0.0	2.417779100401862	0.0	8.469544705136078	588.2254234290085	19.59780797798519	6.789312551733119
bcGQKZ	12.027967277091598	411.19929897221465	0.0	270.5265713529645	17.67470824254469	2.0284752105816795	0.0	42.1705499108447
bcEXDU	151.57089946735317	0.0	0.10339949518441496	0.0	450.87561913357354	37.83650923814123	231.97005977473785	34.29613157084418
bcAPBI	473.4704858429643	92.15616039409079	2.638353819538211	0.0	11.534509772939058	17.2989318158771	174.34296242550835	0.0
bcGEEU	441.3370725313545	19.264297729678404	0.0	7.963413562618448	9.938305201471517	0.8927307701751871	184.88809225946093	13.68290226090036
bcCNPW	0.0	0.0	5.10720882574949	544.2861373867103	662.2553210872128	0.0	0.0	0.0
bcHNKD	66.83396163276343	0.0	1.598927333124907	0.0	0.0	0.0	581.0248846903597	1.679829286656641
bcAEEB	22.326301022125804	0.0	2.378451004643862	10.825533909968671	0.0	413.5493064200014	182.31976885620557	8.782971253737239
bcDJYI	103.14139703443918	25.600147008752703	0.0	0.0	0.0	38.64414501011322	436.0324374634458	19.70734588601044
