"Total","LogProb","PValue","Limited","FDR","empty","barcode"
12004,-17820.0600462557,9.99900009999e-05,TRUE,0,0,"bcDLDW"
11768,-15574.1912951152,9.99900009999e-05,TRUE,0,0,"bcHSST"
12469,-21772.2508355745,9.99900009999e-05,TRUE,0,0,"bcAKEF"
11305,-13658.0603985685,9.99900009999e-05,TRUE,0,0,"bcFZKC"
13043,-18104.7338439563,9.99900009999e-05,TRUE,0,0,"bcHQVC"
12779,-17220.7329409699,9.99900009999e-05,TRUE,0,0,"bcAJIT"
12927,-18956.4412763397,9.99900009999e-05,TRUE,0,0,"bcHJBX"
11856,-17391.0628226756,9.99900009999e-05,TRUE,0,0,"bcHUQH"
11497,-13810.0943148469,9.99900009999e-05,TRUE,0,0,"bcEEBA"
12300,-18739.3607663313,9.99900009999e-05,TRUE,0,0,"bcBWKD"
11829,-16496.8515208179,9.99900009999e-05,TRUE,0,0,"bcDIEU"
12349,-18116.1423643704,9.99900009999e-05,TRUE,0,0,"bcFODF"
12150,-15465.2194972981,9.99900009999e-05,TRUE,0,0,"bcAMEF"
12174,-15528.3500162958,9.99900009999e-05,TRUE,0,0,"bcEHKH"
11689,-16954.3517641316,9.99900009999e-05,TRUE,0,0,"bcHJDM"
11770,-14093.3763008005,9.99900009999e-05,TRUE,0,0,"bcBSLO"
11670,-14927.2482929102,9.99900009999e-05,TRUE,0,0,"bcGCRY"
12552,-19832.7110852687,9.99900009999e-05,TRUE,0,0,"bcFWEB"
12598,-17317.6643321014,9.99900009999e-05,TRUE,0,0,"bcGWZT"
12468,-18072.177992566,9.99900009999e-05,TRUE,0,0,"bcBAQH"
12035,-19271.415924966,9.99900009999e-05,TRUE,0,0,"bcEWHU"
11459,-13037.8688780739,9.99900009999e-05,TRUE,0,0,"bcBUQN"
11371,-15641.8683320563,9.99900009999e-05,TRUE,0,0,"bcHNNW"
10933,-12701.3697466298,9.99900009999e-05,TRUE,0,0,"bcHBGU"
12117,-17979.5960555725,9.99900009999e-05,TRUE,0,0,"bcGLXN"
12084,-16626.7382536304,9.99900009999e-05,TRUE,0,0,"bcCBQG"
11478,-13353.554190754,9.99900009999e-05,TRUE,0,0,"bcEEYN"
12276,-18114.8564933088,9.99900009999e-05,TRUE,0,0,"bcHQRQ"
12395,-18343.4890584588,9.99900009999e-05,TRUE,0,0,"bcCLRP"
10746,-15805.7590431674,9.99900009999e-05,TRUE,0,0,"bcAXKJ"
10692,-14286.7155210947,9.99900009999e-05,TRUE,0,0,"bcAHKK"
11050,-17683.2142822403,9.99900009999e-05,TRUE,0,0,"bcFXMS"
10985,-13701.2922840171,9.99900009999e-05,TRUE,0,0,"bcBXXF"
11524,-18523.7064514212,9.99900009999e-05,TRUE,0,0,"bcHPMB"
12002,-18519.7570477658,9.99900009999e-05,TRUE,0,0,"bcFYCM"
12199,-19112.540140994,9.99900009999e-05,TRUE,0,0,"bcCEBL"
10484,-10820.8811056986,9.99900009999e-05,TRUE,0,0,"bcEFWQ"
11478,-18314.2459634831,9.99900009999e-05,TRUE,0,0,"bcAJVA"
11944,-17418.9613803283,9.99900009999e-05,TRUE,0,0,"bcAZEM"
11611,-15057.3687791996,9.99900009999e-05,TRUE,0,0,"bcDADI"
11783,-16647.1438475401,9.99900009999e-05,TRUE,0,0,"bcBTPA"
11662,-17127.3640680535,9.99900009999e-05,TRUE,0,0,"bcEIQW"
10422,-10452.496040384,9.99900009999e-05,TRUE,0,0,"bcAKQB"
11924,-17260.2859120933,9.99900009999e-05,TRUE,0,0,"bcFNLU"
10930,-14796.8489890023,9.99900009999e-05,TRUE,0,0,"bcGIXK"
11914,-14838.2843697621,9.99900009999e-05,TRUE,0,0,"bcAUZT"
10850,-15262.9767622349,9.99900009999e-05,TRUE,0,0,"bcCKVT"
11165,-16438.8017078382,9.99900009999e-05,TRUE,0,0,"bcHAZS"
11294,-14394.4616867084,9.99900009999e-05,TRUE,0,0,"bcFUGH"
10275,-19183.3827140192,9.99900009999e-05,TRUE,0,0,"bcHPMI"
11481,-16827.6677153239,9.99900009999e-05,TRUE,0,0,"bcHOIF"
